filename,page_index,text_length_ocr,text_length_gt,character_accuracy,character_error_rate,sequence_similarity,jaccard_similarity,table_count_pred,table_count_ref,table_teds,table_structure_similarity,table_content_similarity,table_cell_accuracy,formula_count,formula_average_accuracy,formula_correct_count,composite_score
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_010,10,439,526,0.8061,0.1939,0.8207,0.8431,0,0,,,,,,,,80.61
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_011,11,377,381,0.6808,0.3192,0.6544,0.82,0,0,,,,,,,,68.08
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_055,55,104,112,0.9009,0.0991,0.9444,0.8889,0,0,,,,,,,,90.09
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_056,56,559,643,0.8445,0.1555,0.5324,0.9423,1,1,100.0,1.0,1.0,1.0,,,,89.63
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_060,60,235,311,0.7194,0.2806,0.6337,0.9394,0,0,,,,,,,,71.94
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_011,11,946,966,0.9669,0.0331,0.8159,0.9818,1,1,100.0,1.0,1.0,1.0,,,,97.79
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_027,27,520,779,0.6857,0.3143,0.7637,0.8039,0,0,,,,,,,,68.57
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_034,34,38,117,0.3276,0.6724,0.4903,0.7692,0,0,,,,,,,,32.76
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_036,36,421,167,0.0,1.0,0.5476,0.8462,1,1,100.0,1.0,1.0,1.0,,,,33.33
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_043,43,10,58,0.1552,0.8448,0.2647,0.2692,0,0,,,,,,,,15.52
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_046,46,0,15,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_076,76,244,221,0.6667,0.3333,0.7785,0.8462,1,1,100.0,1.0,1.0,1.0,,,,77.78
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语上册_课本_人教新起点英语4A电子课本_page_044,44,35,270,0.1336,0.8664,0.2295,0.4524,0,0,,,,,,,,13.36
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语上册_课本_人教新起点英语4A电子课本_page_072,72,467,477,0.9559,0.0441,0.1081,0.975,0,0,,,,,,,,95.59
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语上册_课本_人教新起点英语4A电子课本_page_091,91,0,74,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语下册_课本_人教新起点英语4B电子课本_page_016,16,17,17,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语下册_课本_人教新起点英语4B电子课本_page_017,17,0,13,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语下册_课本_人教新起点英语4B电子课本_page_043,43,0,14,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语下册_课本_人教新起点英语4B电子课本_page_047,47,451,496,0.8866,0.1134,0.8912,0.9512,0,0,,,,,,,,88.66
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语下册_课本_人教新起点英语4B电子课本_page_048,48,293,419,0.6763,0.3237,0.4579,0.881,0,0,,,,,,,,67.63
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语下册_课本_人教新起点英语4B电子课本_page_087,87,553,679,0.8279,0.1721,0.664,0.931,0,0,,,,,,,,82.79
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET写作25分 【10讲 褚连一】_第04讲第四课KET分类词汇训练二_第四课KET分类词汇训练二_page_003,3,0,1350,0.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,,,,0.0
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET写作25分 【10讲 褚连一】_第05讲第五课写作Part7详解_第五课写作Part7详解_page_001,1,1058,1030,0.587,0.413,0.5766,0.9545,0,0,,,,,,,,58.7
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET写作25分 【10讲 褚连一】_第08讲第八课写作Part8训练_第八课写作Part8训练_page_003,3,0,1815,0.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,,,,0.0
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET写作25分 【10讲 褚连一】_第09讲第九课写作Part9小作文详解_【8054】第九课写作Part9小作文详解_page_001,1,1065,1632,0.4991,0.5009,0.3797,0.8878,0,0,,,,,,,,49.91
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET写作25分 【10讲 褚连一】_第10讲第十课写作Part9小作文练习_第十课写作Part9小作文练习_page_010,10,1544,1553,0.9091,0.0909,0.7091,0.9552,0,0,,,,,,,,90.91
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET写作25分 【10讲 褚连一】_第10讲第十课写作Part9小作文练习_第十课写作Part9小作文练习_page_020,20,1439,1517,0.9061,0.0939,0.8654,0.9459,0,0,,,,,,,,90.61
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET口语25分【10 褚连一】_第02讲第二课口语部分Part1详解_第二课口语部分Part1详解_page_002,2,0,455,0.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,,,,0.0
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET口语25分【10 褚连一】_第04讲第四课口语部分Part2详解下_第四课口语部分Part2详解下_page_001,1,100,412,0.2394,0.7606,0.375,0.5281,0,0,,,,,,,,23.94
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET口语25分【10 褚连一】_第09讲第九课口语部分Part2模拟三_第九课口语部分Part2模拟三_page_001,1,674,741,0.4889,0.5111,0.3406,0.8807,0,0,,,,,,,,48.89
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET阅读25分【10讲 褚连一 】_第01讲第一课阅读题型综述_第一课阅读题型综述_page_004,4,1257,1308,0.5685,0.4315,0.2932,0.9667,0,0,,,,,,,,56.85
color_textbook_教材全解1+1二年级上册英语上海牛津版_page_030,30,303,482,0.5643,0.4357,0.6446,0.7051,0,0,,,,,,,,56.43
color_textbook_教材全解1+1二年级上册英语上海牛津版_page_058,58,440,581,0.6885,0.3115,0.7228,0.8148,2,2,100.0,1.0,1.0,1.0,,,,79.23
color_textbook_教材全解1+1二年级上册英语上海牛津版_page_067,67,594,612,0.82,0.18,0.8624,1.0,0,0,,,,,,,,82.0
color_textbook_教材全解1+1二年级下册英语上海牛津版_page_006,6,487,490,0.9469,0.0531,0.9478,0.9461,1,1,100.0,1.0,1.0,1.0,,,,96.46
color_textbook_教材全解1+1二年级下册英语上海牛津版_page_045,45,714,958,0.6399,0.3601,0.7452,0.9116,1,0,0.0,0.0,0.0,0.0,,,,42.66
color_textbook_教材全解1+1二年级下册英语上海牛津版_page_066,66,937,1025,0.9102,0.0898,0.7095,0.9744,1,1,100.0,1.0,1.0,1.0,,,,94.02
color_textbook_教材全解1+1二年级下册英语上海牛津版_page_081,81,704,765,0.94,0.06,0.8945,0.983,1,1,100.0,1.0,1.0,1.0,,,,96.0
docstructbench_00039896.1983.10545823.pdf_1,0,2389,2259,0.8331,0.1669,0.7707,0.9167,0,0,,,,,,,,83.31
docstructbench_dianzishu_zhongwenzaixian-o.O-60368448.pdf_343,343,79,75,0.7867,0.2133,0.8961,0.8431,2,2,100.0,1.0,1.0,1.0,,,,85.78
docstructbench_dianzishu_zhongwenzaixian-o.O-60403612.pdf_179,179,7,0,0.0,1.0,0.0,0.0,2,2,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-60482015.pdf_56,56,257,227,0.8722,0.1278,0.938,0.8836,1,1,100.0,1.0,1.0,1.0,,,,91.48
docstructbench_dianzishu_zhongwenzaixian-o.O-60599898.pdf_30,30,1999,2024,0.9862,0.0138,0.9888,0.9829,0,0,,,,,,,,98.62
docstructbench_dianzishu_zhongwenzaixian-o.O-60832903.pdf_88,88,505,507,0.9961,0.0039,0.998,1.0,0,0,,,,,,,,99.61
docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203,203,409,449,0.9087,0.0913,0.9417,0.9167,1,1,100.0,1.0,1.0,1.0,,,,93.91
docstructbench_dianzishu_zhongwenzaixian-o.O-61465568.pdf_186,186,183,185,0.9514,0.0486,0.9728,0.9559,0,0,,,,,,,,95.14
docstructbench_dianzishu_zhongwenzaixian-o.O-61467079.pdf_40,24,849,860,0.9535,0.0465,0.9737,0.9788,0,0,,,,,,,,95.35
docstructbench_dianzishu_zhongwenzaixian-o.O-61510621.pdf_161,161,0,0,1.0,0.0,1.0,1.0,1,1,100.0,1.0,1.0,1.0,,,,100.0
docstructbench_dianzishu_zhongwenzaixian-o.O-61510863.pdf_73,26,199,332,0.241,0.759,0.5047,0.7197,0,0,,,,,,,,24.1
docstructbench_dianzishu_zhongwenzaixian-o.O-61511646.pdf_188,29,87,87,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
docstructbench_dianzishu_zhongwenzaixian-o.O-61513005.pdf_179,34,339,0,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
docstructbench_dianzishu_zhongwenzaixian-o.O-61518266.pdf_149,149,578,567,0.963,0.037,0.9764,0.9581,2,2,100.0,1.0,1.0,1.0,,,,97.53
docstructbench_dianzishu_zhongwenzaixian-o.O-61520553.pdf_328,328,46,0,0.0,1.0,0.0,0.0,2,2,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-61520612.pdf_140,140,2,41,0.0,1.0,0.0,0.0,1,1,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-61520779.pdf_76,76,20,0,0.0,1.0,0.0,0.0,1,1,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-61520788.pdf_391,391,860,942,0.9023,0.0977,0.9378,0.9043,1,1,100.0,1.0,1.0,1.0,1,0.8571,1,92.19
docstructbench_dianzishu_zhongwenzaixian-o.O-61520814.pdf_185,41,718,789,0.858,0.142,0.8759,0.9262,1,1,100.0,1.0,1.0,1.0,,,,90.54
docstructbench_dianzishu_zhongwenzaixian-o.O-61521185.pdf_167,43,237,255,0.8824,0.1176,0.8415,0.9273,0,0,,,,,,,,88.24
docstructbench_dianzishu_zhongwenzaixian-o.O-61521384.pdf_750,750,63,66,0.9385,0.0615,0.9612,1.0,1,1,100.0,1.0,1.0,1.0,,,,95.9
docstructbench_dianzishu_zhongwenzaixian-o.O-61521429.pdf_358,358,18,0,0.0,1.0,0.0,0.0,1,1,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-61521600.pdf_210,210,0,0,1.0,0.0,1.0,1.0,1,1,100.0,1.0,1.0,1.0,,,,100.0
docstructbench_dianzishu_zhongwenzaixian-o.O-61522126.pdf_206,206,96,140,0.6547,0.3453,0.7712,0.8649,2,2,100.0,1.0,1.0,1.0,,,,76.98
docstructbench_dianzishu_zhongwenzaixian-o.O-61522235.pdf_170,170,404,449,0.9034,0.0966,0.9074,0.9195,1,1,100.0,1.0,1.0,1.0,,,,93.56
docstructbench_dianzishu_zhongwenzaixian-o.O-61523162.pdf_276,276,20,36,0.5556,0.4444,0.7143,0.6923,1,1,100.0,1.0,1.0,1.0,,,,70.37
docstructbench_dianzishu_zhongwenzaixian-o.O-61524043.pdf_156,46,274,273,0.9963,0.0037,0.9945,0.9932,0,0,,,,,,,,99.63
docstructbench_dianzishu_zhongwenzaixian-o.O-61562126.pdf_80,49,155,10,0.0,1.0,0.0364,0.0408,0,0,,,,,,,,0.0
docstructbench_dianzishu_zhongwenzaixian-o.O-61564860.pdf_81,50,251,293,0.8396,0.1604,0.8971,0.8857,0,0,,,,,,,,83.96
docstructbench_dianzishu_zhongwenzaixian-o.O-61566094.pdf_55,55,170,181,0.8343,0.1657,0.8604,0.7983,0,0,,,,,,,,83.43
docstructbench_dianzishu_zhongwenzaixian-o.O-61569294.pdf_128,53,442,413,0.8983,0.1017,0.9404,0.9046,0,0,,,,,,,,89.83
docstructbench_dianzishu_zhongwenzaixian-o.O-61569751.pdf_155,155,567,642,0.676,0.324,0.6716,0.8466,1,1,100.0,1.0,1.0,1.0,1,0.0792,0,66.65
docstructbench_dianzishu_zhongwenzaixian-o.O-61570078.pdf_315,315,188,207,0.9034,0.0966,0.9418,0.9524,2,2,100.0,1.0,1.0,1.0,,,,93.56
docstructbench_dianzishu_zhongwenzaixian-o.O-61570552.pdf_129,54,732,826,0.8523,0.1477,0.905,0.9213,0,0,,,,,,,,85.23
docstructbench_dianzishu_zhongwenzaixian-o.O-61571237.pdf_81,81,289,341,0.8182,0.1818,0.8,0.8692,2,2,100.0,1.0,1.0,1.0,,,,87.88
docstructbench_dianzishu_zhongwenzaixian-o.O-61571259.pdf_239,239,20,0,0.0,1.0,0.0,0.0,1,1,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-61571884.pdf_94,56,347,366,0.9399,0.0601,0.9341,0.9917,0,0,,,,,,,,93.99
docstructbench_dianzishu_zhongwenzaixian-o.O-63674848.pdf_101,101,287,330,0.8636,0.1364,0.9238,0.9774,1,1,100.0,1.0,1.0,1.0,,,,90.91
docstructbench_dianzishu_zhongwenzaixian-o.O-63675767.pdf_66,66,437,488,0.8914,0.1086,0.9276,0.908,2,2,100.0,1.0,1.0,1.0,,,,92.76
docstructbench_dianzishu_zhongwenzaixian-o.O-63677793.pdf_332,332,0,0,1.0,0.0,1.0,1.0,1,1,100.0,1.0,1.0,1.0,,,,100.0
docstructbench_dianzishu_zhongwenzaixian-o.O-63678132.pdf_161,161,463,481,0.9605,0.0395,0.9788,0.9636,0,0,,,,,,,,96.05
docstructbench_dianzishu_zhongwenzaixian-o.O-63684042.pdf_172,172,79,215,0.2651,0.7349,0.4558,0.4423,0,0,,,,,,,,26.51
docstructbench_dianzishu_zhongwenzaixian-o.O-63684502.pdf_263,263,185,217,0.8111,0.1889,0.8706,0.808,2,2,100.0,1.0,1.0,1.0,,,,87.4
docstructbench_dianzishu_zhongwenzaixian-o.O-63685157.pdf_105,105,585,547,0.8867,0.1133,0.9293,0.9142,0,0,,,,,,,,88.67
docstructbench_dianzishu_zhongwenzaixian-o.O-63685611.pdf_222,222,584,585,0.9932,0.0068,0.994,0.9882,0,0,,,,,,,,99.32
docstructbench_dianzishu_zhongwenzaixian-o.O-63686103.pdf_55,70,398,475,0.7684,0.2316,0.8431,0.9286,0,0,,,,,,,,76.84
docstructbench_dianzishu_zhongwenzaixian-o.O-63686436.pdf_57,57,364,427,0.8431,0.1569,0.9128,0.823,0,0,,,,,,,,84.31
docstructbench_dianzishu_zhongwenzaixian-o.O-63687685.pdf_106,78,338,402,0.8134,0.1866,0.8973,0.949,0,0,,,,,,,,81.34
docstructbench_dianzishu_zhongwenzaixian-o.O-63688043.pdf_110,110,267,268,0.9888,0.0112,0.9907,0.9929,1,1,100.0,1.0,1.0,1.0,,,,99.25
docstructbench_dianzishu_zhongwenzaixian-o.O-63688445.pdf_489,489,941,1031,0.8788,0.1212,0.8966,0.9544,0,0,,,,,,,,87.88
docstructbench_dianzishu_zhongwenzaixian-o.O-63690689.pdf_134,134,1504,1518,0.9855,0.0145,0.9914,0.9924,0,0,,,,,,,,98.55
docstructbench_dianzishu_zhongwenzaixian-o.O-63708140.pdf_170,170,533,546,0.9725,0.0275,0.9639,0.9877,1,1,100.0,1.0,1.0,1.0,,,,98.17
docstructbench_dianzishu_zhongwenzaixian-o.O-63709763.pdf_72,72,18,0,0.0,1.0,0.0,0.0,2,2,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-63710191.pdf_336,336,253,338,0.7485,0.2515,0.8562,0.9149,2,2,100.0,1.0,1.0,1.0,,,,83.23
docstructbench_dianzishu_zhongwenzaixian-o.O-63710614.pdf_149,87,450,621,0.7184,0.2816,0.8161,0.8588,0,0,,,,,,,,71.84
docstructbench_dianzishu_zhongwenzaixian-o.O-63711094.pdf_34,34,4,0,0.0,1.0,0.0,0.0,2,2,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_dianzishu_zhongwenzaixian-o.O-63711094.pdf_56,56,287,299,0.9298,0.0702,0.9488,0.9658,1,1,100.0,1.0,1.0,1.0,,,,95.32
docstructbench_enbook-zlib-o.O-15322190.pdf_138,138,0,29,0.0,1.0,0.0,0.0,1,1,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_enbook-zlib-o.O-17208435.pdf_105,105,5656,5624,0.9491,0.0509,0.5117,0.9516,0,0,,,,,,,,94.91
docstructbench_enbook-zlib-o.O-17208435.pdf_57,57,6550,6520,0.9735,0.0265,0.2809,0.9577,0,0,,,,,,,,97.35
docstructbench_enbook-zlib-o.O-17342542.pdf_25,25,327,326,1.0,0.0,0.9985,1.0,0,0,,,,,,,,100.0
docstructbench_enbook-zlib-o.O-17761417.pdf_894,111,1239,1271,0.9717,0.0283,0.9841,0.918,1,1,100.0,1.0,1.0,1.0,,,,98.11
docstructbench_enbook-zlib-o.O-19091739.pdf_181,124,1482,2459,0.5689,0.4311,0.2187,0.9032,0,0,,,,,13,0.3683,1,52.26
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1173,3013,3368,0.8832,0.1168,0.7275,0.8961,0,0,,,,,,,,88.32
docstructbench_enbook-zlib-o.O-21353024.pdf_39,39,3456,3932,0.8357,0.1643,0.4534,0.8837,0,0,,,,,,,,83.57
docstructbench_enbook-zlib-o.O-21882649.pdf_3,3,1695,1747,0.9662,0.0338,0.9216,0.9836,0,0,,,,,,,,96.62
docstructbench_enbook-zlib-o.O-22206811.pdf_5,5,1557,1669,0.9281,0.0719,0.8246,0.9672,0,0,,,,,,,,92.81
docstructbench_llm-raw-scihub-o.O-adsc.201190003.pdf_6,192,1187,1383,0.8474,0.1526,0.8054,0.8987,0,0,,,,,,,,84.74
docstructbench_llm-raw-scihub-o.O-ajhb.10190.pdf_5,5,2748,3353,0.8121,0.1879,0.7268,0.9118,0,0,,,,,,,,81.21
docstructbench_llm-raw-scihub-o.O-ana.20363.pdf_5,5,2204,2228,0.9879,0.0121,0.9937,0.9298,0,0,,,,,,,,98.79
docstructbench_llm-raw-scihub-o.O-bf00151572.pdf_3,3,1662,1983,0.8043,0.1957,0.361,0.9688,0,0,,,,,,,,80.43
docstructbench_llm-raw-scihub-o.O-bf00326833.pdf_3,3,0,1305,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
docstructbench_llm-raw-scihub-o.O-bf03175144.pdf_4,199,986,876,0.8744,0.1256,0.9377,0.9333,3,3,100.0,1.0,1.0,1.0,,,,91.63
docstructbench_llm-raw-scihub-o.O-ceat.200407001.pdf_3,201,3816,3838,0.9698,0.0302,0.9791,0.9726,1,1,100.0,1.0,1.0,1.0,14,0.4784,5,89.63
docstructbench_llm-raw-scihub-o.O-ceat.200600266.pdf_2,2,4385,4572,0.9532,0.0468,0.9577,0.9437,1,1,100.0,1.0,1.0,1.0,,,,96.88
docstructbench_llm-raw-scihub-o.O-ceat.200600410.pdf_5,5,1296,1404,0.9224,0.0776,0.9593,0.9792,2,2,100.0,1.0,1.0,1.0,2,0.3521,0,84.89
docstructbench_llm-raw-scihub-o.O-ceat.200600410.pdf_8,203,1126,1169,0.917,0.083,0.9542,0.8235,2,2,100.0,1.0,1.0,1.0,,,,94.47
docstructbench_llm-raw-scihub-o.O-chem.200700118.pdf_7,7,4477,5038,0.8267,0.1733,0.4399,0.9747,0,0,,,,,,,,82.67
docstructbench_llm-raw-scihub-o.O-chem.200700133.pdf_6,6,3615,4771,0.7516,0.2484,0.8443,0.92,0,0,,,,,,,,75.16
docstructbench_llm-raw-scihub-o.O-chem.200700285.pdf_4,205,455,772,0.5881,0.4119,0.74,0.7826,0,1,0.0,0.0,0.0,0.0,,,,39.21
docstructbench_llm-raw-scihub-o.O-chem.200701412.pdf_10,10,7233,7517,0.9388,0.0612,0.9138,0.9326,0,0,,,,,,,,93.88
docstructbench_llm-raw-scihub-o.O-chem.200701981.pdf_9,9,10337,11792,0.7019,0.2981,0.4686,0.828,0,0,,,,,,,,70.19
docstructbench_llm-raw-scihub-o.O-chin.200305072.pdf_1,1,590,697,0.8017,0.1983,0.8547,0.9091,0,0,,,,,,,,80.17
docstructbench_llm-raw-scihub-o.O-chin.200427104.pdf_1,1,0,506,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
docstructbench_llm-raw-scihub-o.O-chin.201023119.pdf_1,1,390,550,0.6818,0.3182,0.2468,0.8382,0,0,,,,,,,,68.18
docstructbench_llm-raw-scihub-o.O-chin.201025015.pdf_1,1,681,1696,0.3614,0.6386,0.212,0.925,0,0,,,,,,,,36.14
docstructbench_llm-raw-scihub-o.O-dneu.20401.pdf_2,2,5751,5881,0.9684,0.0316,0.9814,0.9518,0,0,,,,,,,,96.84
docstructbench_llm-raw-scihub-o.O-dneu.20833.pdf_13,13,4987,5074,0.9756,0.0244,0.7818,0.9079,0,0,,,,,,,,97.56
docstructbench_llm-raw-scihub-o.O-dvdy.10165.pdf_7,7,0,0,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
docstructbench_llm-raw-scihub-o.O-hup.777.pdf_7,7,743,745,0.9691,0.0309,0.9516,0.9,1,1,100.0,1.0,1.0,1.0,,,,97.94
docstructbench_llm-raw-scihub-o.O-hup.777.pdf_8,211,2404,2414,0.9507,0.0493,0.8535,0.9231,1,1,100.0,1.0,1.0,1.0,,,,96.71
docstructbench_llm-raw-scihub-o.O-hup.908.pdf_5,5,4109,4008,0.9043,0.0957,0.9075,0.8701,1,1,100.0,1.0,1.0,1.0,,,,93.62
docstructbench_llm-raw-scihub-o.O-hyp.1040.pdf_9,9,1915,2322,0.8243,0.1757,0.8464,0.8308,0,0,,,,,,,,82.43
docstructbench_llm-raw-scihub-o.O-hyp.1092.pdf_1,1,1259,3771,0.3332,0.6668,0.4362,0.7945,0,0,,,,,,,,33.32
docstructbench_llm-raw-scihub-o.O-ijc.22820.pdf_4,4,2420,4372,0.551,0.449,0.1531,0.8267,0,0,,,,,,,,55.1
docstructbench_llm-raw-scihub-o.O-ijc.22994.pdf_3,3,1579,1308,0.7347,0.2653,0.7717,0.8615,2,3,0.0,0.0,0.0,0.0,,,,48.98
docstructbench_llm-raw-scihub-o.O-ijc.22999.pdf_3,3,1065,3545,0.2979,0.7021,0.1328,0.5949,0,0,,,,,,,,29.79
docstructbench_llm-raw-scihub-o.O-j.1365-2117.1999.00104.x.pdf_11,11,1668,2816,0.5877,0.4123,0.7364,0.9118,0,0,,,,,,,,58.77
docstructbench_llm-raw-scihub-o.O-j.1365-2117.2002.00179.x.pdf_10,10,3308,3735,0.7305,0.2695,0.623,0.8649,0,0,,,,,,,,73.05
docstructbench_llm-raw-scihub-o.O-j.1365-2818.2000.00739.x.pdf_4,4,1145,2151,0.5193,0.4807,0.682,0.9231,0,0,,,,,,,,51.93
docstructbench_llm-raw-scihub-o.O-j.1365-2818.2000.00739.x.pdf_8,8,3176,3203,0.975,0.025,0.7838,0.9841,0,0,,,,,,,,97.5
docstructbench_llm-raw-scihub-o.O-j.1365-2818.2003.01210.x.pdf_7,7,649,787,0.8145,0.1855,0.8969,0.9333,0,0,,,,,,,,81.45
docstructbench_llm-raw-scihub-o.O-j.1444-2906.2002.00466.x.pdf_4,215,1989,2046,0.9462,0.0538,0.9532,0.8929,1,1,100.0,1.0,1.0,1.0,,,,96.42
docstructbench_llm-raw-scihub-o.O-j.1445-2197.2003.02751.x.pdf_3,3,2507,2529,0.9814,0.0186,0.9861,1.0,0,0,,,,,,,,98.14
docstructbench_llm-raw-scihub-o.O-j.ab.2007.10.021.pdf_3,3,1027,1068,0.9541,0.0459,0.9737,1.0,0,0,,,,,,,,95.41
docstructbench_llm-raw-scihub-o.O-j.ab.2007.11.016.pdf_5,5,1489,2251,0.6495,0.3505,0.7631,0.8806,0,0,,,,,,,,64.95
docstructbench_llm-raw-scihub-o.O-j.ab.2008.05.027.pdf_7,7,3461,5008,0.6835,0.3165,0.1925,0.8451,0,0,,,,,,,,68.35
docstructbench_llm-raw-scihub-o.O-j.apcata.2004.01.008.pdf_6,6,0,0,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
docstructbench_llm-raw-scihub-o.O-j.apcata.2006.05.010.pdf_2,2,6570,7170,0.8912,0.1088,0.7668,0.8851,0,0,,,,,,,,89.12
docstructbench_llm-raw-scihub-o.O-j.apcata.2007.01.024.pdf_7,7,6207,7385,0.7489,0.2511,0.7004,0.9012,0,0,,,,,,,,74.89
docstructbench_llm-raw-scihub-o.O-j.chroma.2005.02.018.pdf_6,6,39,0,0.0,1.0,0.0,0.0,5,5,100.0,1.0,1.0,1.0,,,,33.33
docstructbench_llm-raw-scihub-o.O-j.chroma.2005.03.134.pdf_6,6,0,0,1.0,0.0,1.0,1.0,1,1,100.0,1.0,1.0,1.0,,,,100.0
docstructbench_llm-raw-scihub-o.O-j.chroma.2005.05.085.pdf_4,4,4187,4393,0.9388,0.0612,0.9121,0.961,1,1,100.0,1.0,1.0,1.0,,,,95.92
docstructbench_llm-raw-scihub-o.O-j.chroma.2005.08.021.pdf_7,7,4373,4627,0.9246,0.0754,0.8656,0.942,2,2,100.0,1.0,1.0,1.0,,,,94.97
docstructbench_llm-raw-scihub-o.O-j.chroma.2005.11.024.pdf_7,7,4789,5295,0.8999,0.1001,0.3713,0.9189,0,0,,,,,,,,89.99
docstructbench_llm-raw-scihub-o.O-j.ergon.2003.12.002.pdf_5,5,3689,3770,0.9744,0.0256,0.9462,0.8933,0,0,,,,,,,,97.44
docstructbench_llm-raw-scihub-o.O-j.ergon.2004.09.009.pdf_13,13,0,0,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
docstructbench_llm-raw-scihub-o.O-j.ergon.2006.10.025.pdf_6,6,4206,4639,0.8998,0.1002,0.8984,0.8676,0,0,,,,,,,,89.98
