filename,page_index,text_length_ocr,text_length_gt,character_accuracy,character_error_rate,sequence_similarity,jaccard_similarity,table_count_pred,table_count_ref,table_teds,table_structure_similarity,table_content_similarity,table_cell_accuracy,formula_count,formula_average_accuracy,formula_correct_count,composite_score
PPT_LEP power point presentation-English-FINAL-10-31-07_page_015,15,90,97,0.9278,0.0722,0.9626,0.9667,0,0,,,,,,,,92.78
PPT_MMAT5390Lecture1_page_023,23,520,477,0.8088,0.1912,0.5597,0.9365,0,0,,,,,2,0.7065,1,78.52
PPT_MMAT5390Lecture1_page_024,24,333,365,0.8556,0.1444,0.894,0.8868,0,0,,,,,1,0.6053,0,79.78
PPT_PresentationSpecification_page_007,7,256,279,0.9101,0.0899,0.7402,0.9091,0,0,,,,,,,,91.01
PPT_PresentationSpecification_page_010,10,97,227,0.4292,0.5708,0.5988,0.7843,1,2,0.0,0.0,0.0,0.0,,,,28.61
PPT_PresentationSpecification_page_025,25,291,334,0.8818,0.1182,0.6496,0.8039,0,0,,,,,,,,88.18
PPT_StewartCalcET7e_03_02_page_007,7,113,114,0.8158,0.1842,0.8899,0.9688,0,0,,,,,2,0.8532,2,82.44
PPT_StewartCalcET7e_03_02_page_010,10,210,143,0.1608,0.8392,0.2606,0.8636,0,0,,,,,3,0.6755,1,27.96
PPT_StewartCalcET7e_03_02_page_012,12,118,135,0.7852,0.2148,0.8696,0.8056,0,0,,,,,2,0.3623,0,68.76
PPT_StewartCalcET7e_03_02_page_014,14,320,310,0.8387,0.1613,0.8317,0.8889,0,0,,,,,2,0.301,0,71.46
PPT_StewartCalcET7e_03_02_page_015,15,155,166,0.9036,0.0964,0.9346,0.9474,0,0,,,,,2,0.6061,0,83.5
PPT_StewartCalcET7e_04_09_page_018,18,228,251,0.7331,0.2669,0.7766,0.8333,0,0,,,,,3,0.5522,0,69.13
PPT_The Right Moves_page_010,10,252,301,0.8272,0.1728,0.6655,0.7941,0,0,,,,,,,,82.72
PPT_The Right Moves_page_016,16,128,128,1.0,0.0,0.9922,0.9615,0,0,,,,,,,,100.0
PPT_The Right Moves_page_024,24,403,387,0.9301,0.0699,0.9519,0.9714,0,0,,,,,,,,93.01
PPT_Transfer-Orientation-2012_page_004,4,687,704,0.9616,0.0384,0.9633,0.9808,0,0,,,,,,,,96.16
PPT_all655920_page_001,1,367,411,0.8613,0.1387,0.8766,0.9273,0,0,,,,,,,,86.13
PPT_all655920_page_002,2,426,436,0.9633,0.0367,0.8353,1.0,0,0,,,,,,,,96.33
PPT_all655920_page_003,3,281,306,0.8885,0.1115,0.6917,0.9756,0,0,,,,,,,,88.85
PPT_all655920_page_008,8,239,238,0.9412,0.0588,0.8637,1.0,0,0,,,,,,,,94.12
PPT_ch7_page_020,20,395,410,0.8366,0.1634,0.5988,0.825,0,0,,,,,8,0.115,0,67.01
PPT_ch7_page_021,21,703,520,0.5154,0.4846,0.6034,0.9,0,0,,,,,2,0.3533,0,47.8
PPT_ch7_page_028,28,141,45,0.0,1.0,0.0968,0.4348,0,0,,,,,,,,0.0
PPT_ch7_page_030,30,574,491,0.5764,0.4236,0.385,0.8511,0,0,,,,,4,0.3601,1,52.65
PPT_ch7_page_034,34,392,262,0.4313,0.5687,0.7492,0.7458,0,0,,,,,3,0.2086,0,37.99
PPT_ch7_page_035,35,461,548,0.7646,0.2354,0.2656,0.9787,0,0,,,,,1,0.5992,0,72.64
PPT_ch7_page_053,53,195,196,0.9592,0.0408,0.9668,0.9375,0,0,,,,,,,,95.92
PPT_ch7_page_057,57,689,658,0.7356,0.2644,0.6206,0.8364,0,0,,,,,3,0.3479,0,64.61
PPT_ch7_page_090,90,285,240,0.1958,0.8042,0.5371,0.7321,0,0,,,,,5,0.1689,0,18.96
PPT_ch7_page_132,132,817,278,0.0,1.0,0.3598,0.6731,0,0,,,,,8,0.1446,1,3.34
PPT_ch7_page_136,136,695,563,0.5808,0.4192,0.7297,0.9231,0,0,,,,,2,0.3915,0,53.71
PPT_ch7_page_142,142,768,586,0.4659,0.5341,0.1078,0.7879,0,0,,,,,2,0.4333,1,45.84
PPT_english-guidelines-for-humanities-students.zp199743_page_002,2,568,572,0.9598,0.0402,0.6877,0.94,0,0,,,,,,,,95.98
PPT_english-guidelines-for-humanities-students.zp199743_page_008,8,321,335,0.9373,0.0627,0.9451,0.9583,0,0,,,,,,,,93.73
PPT_english-guidelines-for-humanities-students.zp199743_page_011,11,353,368,0.951,0.049,0.1526,0.9762,0,0,,,,,,,,95.1
PPT_english-studies-s6-on-the-road-resource-3_page_002,2,698,701,0.9815,0.0185,0.9035,0.9459,0,0,,,,,,,,98.15
PPT_english-studies-s6-on-the-road-resource-3_page_003,3,417,426,0.9718,0.0282,0.7473,1.0,0,0,,,,,,,,97.18
PPT_english-studies-s6-on-the-road-resource-3_page_005,5,223,262,0.8206,0.1794,0.7835,0.8571,0,0,,,,,,,,82.06
PPT_esea-app101_page_003,3,246,270,0.8963,0.1037,0.0853,0.9375,0,0,,,,,,,,89.63
PPT_esea-app101_page_015,15,16,136,0.1103,0.8897,0.1842,0.2979,0,0,,,,,,,,11.03
PPT_fundamental_theorem_of_calculus___page_002,2,83,162,0.4877,0.5123,0.6531,0.6829,0,0,,,,,,,,48.77
PPT_fundamental_theorem_of_calculus___page_005,5,206,291,0.5464,0.4536,0.1972,0.925,0,0,,,,,,,,54.64
PPT_fundamental_theorem_of_calculus___page_006,6,207,210,0.9667,0.0333,0.9784,0.9211,0,0,,,,,1,0.3475,0,82.38
PPT_fundamental_theorem_of_calculus___page_013,13,97,85,0.4405,0.5595,0.6374,0.8387,0,0,,,,,1,0.1825,0,38.09
PPT_lay_linalg5_01_05_page_003,3,266,248,0.746,0.254,0.3074,0.8837,0,0,,,,,1,0.4855,0,68.59
PPT_lay_linalg5_01_05_page_004,4,132,168,0.3274,0.6726,0.6067,0.5472,0,0,,,,,2,0.5175,0,37.13
PPT_lay_linalg5_01_05_page_005,5,194,185,0.8306,0.1694,0.9024,0.9737,0,0,,,,,1,0.9004,1,84.67
PPT_lay_linalg5_01_05_page_008,8,347,288,0.7778,0.2222,0.7685,0.68,0,0,,,,,1,0.4863,0,71.05
PPT_lay_linalg5_01_05_page_009,9,162,115,0.3478,0.6522,0.6931,0.8367,0,0,,,,,1,0.655,0,41.87
PPT_lecture1_page_005,5,163,409,0.3423,0.6577,0.528,0.7551,0,0,,,,,,,,34.23
PPT_lecture1_page_007,7,51,391,0.1304,0.8696,0.2308,0.4091,0,0,,,,,,,,13.04
PPT_lecture1_page_009,9,175,189,0.8942,0.1058,0.9341,0.8974,0,0,,,,,4,0.1713,0,72.74
PPT_lecture1_page_022,22,0,0,1.0,0.0,1.0,1.0,0,0,,,,,3,0.0003,0,40.02
PPT_linear-algebra primer_page_007,7,56,113,0.1947,0.8053,0.2485,0.4146,0,0,,,,,1,0.7547,0,32.39
PPT_linear-algebra primer_page_008,8,490,270,0.0,1.0,0.1211,0.74,0,0,,,,,1,0.2903,0,6.7
PPT_linear-algebra primer_page_016,16,170,168,0.6964,0.3036,0.8284,0.878,0,0,,,,,2,0.152,0,57.08
PPT_session 10_page_022,22,0,39,0.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,,,,0.0
PPT_session 10_page_023,23,0,39,0.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,,,,0.0
PPT_session 10_page_028,28,0,45,0.0,1.0,0.0,0.0,0,0,,,,,,,,0.0
PPT_sociolinguistics_page_015,15,545,557,0.9638,0.0362,0.6134,0.9773,0,0,,,,,,,,96.38
"book_en_40.Puzzles.and.Problems.in.Probability.and.Mathematical.Statistics,.Schwarz,.Springer,.2008_page_064",64,930,1546,0.5864,0.4136,0.3982,0.8947,0,0,,,,,,,,58.64
"book_en_40.Puzzles.and.Problems.in.Probability.and.Mathematical.Statistics,.Schwarz,.Springer,.2008_page_115",115,1603,2063,0.6995,0.3005,0.216,0.9677,0,0,,,,,4,0.7892,1,72.02
book_en_5.Advanced.Modern.Algebra.-.J.Rotman.2003_page_572,572,2458,2534,0.9037,0.0963,0.4471,0.9487,0,0,,,,,3,0.8516,2,89.17
book_en_5.Advanced.Modern.Algebra.-.J.Rotman.2003_page_887,887,1792,1925,0.7566,0.2434,0.5951,0.8553,0,0,,,,,7,0.6919,2,74.17
book_en_6.Complex.Analysis.-.Elias.M..Stein_page_051,51,1623,1832,0.8657,0.1343,0.3682,0.8136,0,0,,,,,2,0.1292,0,69.58
book_en_6.Complex.Analysis.-.Elias.M..Stein_page_205,205,949,970,0.866,0.134,0.8192,0.9516,0,0,,,,,6,0.8479,5,86.18
"book_en_A.Concise.Introduction.to.Linear.Algebra,.Geza.Schay,.Birkhauser,.2012_page_065",65,2008,123,0.0,1.0,0.0535,0.4259,0,0,,,,,22,0.1025,0,2.37
"book_en_A.Concise.Introduction.to.Linear.Algebra,.Geza.Schay,.Birkhauser,.2012_page_194",194,1718,1689,0.8697,0.1303,0.7655,0.9412,0,0,,,,,10,0.3483,0,74.94
book_en_A.Course.in.Abstract.Harmonic.Analysis.-.Gerald.B.Folland.0849384907_page_119,119,2568,2593,0.845,0.155,0.0868,0.9701,0,0,,,,,3,0.5889,1,78.59
book_en_[搬书匠#20][HTML5 Canvas].2011.英文版_page_208,208,0,0,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
book_en_[搬书匠#375][High Performance MySQL 3rd Edition].2012.英文版_page_153,153,1525,1412,0.6634,0.3366,0.0422,0.8026,2,0,0.0,0.0,0.0,0.0,,,,44.22
book_en_[搬书匠#893][Pyomo—Optimization Modeling in Python].2012.英文版_page_016,16,8,1822,0.0046,0.9954,0.0087,0.1017,0,0,,,,,,,,0.46
book_en_[搬书匠#893][Pyomo—Optimization Modeling in Python].2012.英文版_page_188,188,1661,1758,0.938,0.062,0.8821,0.9796,0,1,0.0,0.0,0.0,0.0,,,,62.53
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0035",35,2686,2827,0.8464,0.1536,0.6167,0.9041,0,0,,,,,2,0.9412,2,86.83
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0085",85,714,987,0.625,0.375,0.6091,0.875,0,0,,,,,6,0.5836,3,61.54
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0092",92,754,700,0.7971,0.2029,0.4718,0.9286,0,0,,,,,7,0.6676,2,76.72
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0100",100,1502,1733,0.6921,0.3079,0.4822,0.875,0,0,,,,,4,0.8065,3,71.85
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0119",119,2377,2590,0.8772,0.1228,0.6511,0.9375,0,0,,,,,1,0.9344,1,89.04
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0242",242,342,334,0.9461,0.0539,0.9142,1.0,0,0,,,,,7,0.6216,3,87.12
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0451",451,663,800,0.5894,0.4106,0.3814,0.9677,0,0,,,,,,,,58.94
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0596",596,3798,3780,0.718,0.282,0.5574,0.8831,0,0,,,,,,,,71.8
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0007,7,2573,3044,0.8027,0.1973,0.658,0.8592,0,0,,,,,1,0.8235,1,80.75
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0017,17,937,1017,0.8455,0.1545,0.3808,0.8103,0,0,,,,,6,0.3949,0,74.15
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0035,35,1274,1272,0.9559,0.0441,0.6339,0.9444,0,0,,,,,4,0.8478,3,93.1
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0085,85,1454,1436,0.9206,0.0794,0.8879,0.918,0,0,,,,,2,0.8133,1,89.58
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0092,92,1679,1760,0.8862,0.1138,0.8753,0.9219,0,0,,,,,5,0.7263,0,84.93
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0100,100,850,849,0.8881,0.1119,0.8252,0.9286,2,2,100.0,1.0,1.0,1.0,7,0.8839,6,91.85
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0119,119,1074,1113,0.8683,0.1317,0.7865,0.9683,0,0,,,,,7,0.8767,7,87.03
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0242,242,712,712,0.8708,0.1292,0.4256,0.9038,0,0,,,,,5,0.8104,4,85.69
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0363,363,957,1016,0.7736,0.2264,0.2007,0.9655,0,0,,,,,8,0.6011,0,73.38
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0451,451,293,284,0.838,0.162,0.7383,0.913,0,0,,,,,10,0.1937,0,68.93
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0007,7,1790,2066,0.8576,0.1424,0.6577,0.9118,0,0,,,,,1,0.2083,0,70.78
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0017,17,1383,1776,0.7342,0.2658,0.6793,0.9333,0,0,,,,,2,0.3453,0,64.45
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0035,35,1451,1844,0.7511,0.2489,0.4765,0.9118,0,0,,,,,4,0.532,1,70.05
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0085,85,817,876,0.7374,0.2626,0.5174,0.9385,0,0,,,,,1,0.5,0,68.26
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0092,92,1634,1681,0.8298,0.1702,0.3077,0.9412,0,0,,,,,1,0.4396,0,73.97
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0100,100,2068,2290,0.8585,0.1415,0.7976,0.9403,0,0,,,,,3,0.5922,0,79.7
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0119,119,1215,1449,0.717,0.283,0.4204,0.8971,0,0,,,,,3,0.7098,1,71.54
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0242,242,1399,1377,0.8678,0.1322,0.7889,0.9189,0,0,,,,,4,0.4771,0,77.77
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0363,363,1907,2085,0.7764,0.2236,0.2214,0.8696,0,0,,,,,5,0.6595,2,74.95
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0451,451,1279,1707,0.6538,0.3462,0.0174,0.875,0,0,,,,,3,0.3249,0,57.79
book_en_搬书匠-2253-The Well-Grounded Rubyist 3rd Edition-2019-英文版_page_194,194,2337,2118,0.8644,0.1356,0.8727,0.8857,0,0,,,,,,,,86.44
book_en_搬书匠-3246-Electronics Cookbook-2017-英文版_page_193,193,1167,1289,0.896,0.104,0.8298,0.8615,0,0,,,,,,,,89.6
book_en_搬书匠-3282-Python Web Scraping 2nd Edition-2017-英文版_page_195,195,834,315,0.0,1.0,0.5431,0.6727,0,0,,,,,,,,0.0
book_en_搬书匠-3289-The Successful Software Manager-2019-英文版_page_241,241,2186,2192,0.9931,0.0069,0.8351,0.9787,0,0,,,,,,,,99.31
book_en_搬书匠-3299-Swift Data Structure and Algorithms-2016-英文版_page_066,66,1189,899,0.5407,0.4593,0.7625,0.625,0,0,,,,,,,,54.07
book_en_搬书匠-3299-Swift Data Structure and Algorithms-2016-英文版_page_111,111,1005,662,0.0227,0.9773,0.0912,0.6452,0,0,,,,,,,,2.27
book_en_搬书匠-3299-Swift Data Structure and Algorithms-2016-英文版_page_142,142,801,1130,0.7088,0.2912,0.3708,0.9825,0,0,,,,,,,,70.88
book_en_搬书匠-3396-iPhone The Missing Manual 10th Edition-2017-英文版_page_099,99,920,932,0.9785,0.0215,0.54,0.8723,0,0,,,,,,,,97.85
book_en_搬书匠-3396-iPhone The Missing Manual 10th Edition-2017-英文版_page_126,126,745,1227,0.6007,0.3993,0.7485,0.8364,0,0,,,,,,,,60.07
book_en_搬书匠-3473-Reactive Programming with RxJS-2015-英文版_page_003,3,1106,1095,0.9836,0.0164,0.9732,0.9661,0,0,,,,,,,,98.36
book_en_搬书匠-3473-Reactive Programming with RxJS-2015-英文版_page_021,21,1567,1572,0.9955,0.0045,0.2689,0.9592,0,0,,,,,,,,99.55
book_zh_CNASGL0072018_extracted_page_48,48,242,295,0.6814,0.3186,0.73,0.8444,0,0,,,,,6,0.4857,0,63.62
book_zh_CNASGL0092018_extracted_page_69,69,627,575,0.7617,0.2383,0.8369,0.9506,0,0,,,,,11,0.455,2,69.1
book_zh_CNASGL0092018_extracted_page_70,70,703,640,0.7277,0.2723,0.7982,0.8926,0,0,,,,,7,0.5767,0,69.29
book_zh_CNASGL0092018_extracted_page_73,73,621,778,0.6898,0.3102,0.7934,0.959,0,0,,,,,4,0.4905,0,64.38
book_zh_CNASGL0262018_extracted_page_82,82,332,383,0.4267,0.5733,0.6014,0.9107,1,1,100.0,1.0,1.0,1.0,8,0.6378,1,62.11
book_zh_CNASGL082006_extracted_page_50,50,102,112,0.8108,0.1892,0.8598,0.9077,1,1,100.0,1.0,1.0,1.0,4,0.5973,0,82.78
book_zh_DLT10562007_extracted_page_17,17,678,700,0.9557,0.0443,0.9565,0.9632,0,0,,,,,12,0.2389,2,79.03
book_zh_DLT10902008_extracted_page_8,8,286,303,0.9404,0.0596,0.9202,0.9658,1,1,100.0,1.0,1.0,1.0,10,0.2913,0,84.88
book_zh_GB115041989_extracted_page_9,9,840,991,0.7454,0.2546,0.7865,0.9393,1,1,100.0,1.0,1.0,1.0,4,0.1696,0,72.02
book_zh_GB12082006_extracted_page_8,8,404,875,0.4525,0.5475,0.5473,0.7586,0,0,,,,,1,0.6667,0,50.19
book_zh_GB14536.11998_extracted_page_145,145,517,607,0.5898,0.4102,0.6957,0.6872,1,1,100.0,1.0,1.0,1.0,1,0.7547,0,73.12
