question_index,ttft_ms,generate_ms,retrieve_ms,total_ms
152,1666.8,1666.8,18.3,1685.2
153,8437.5,8437.5,17.4,8455.0
154,3484.7,3484.8,18.0,3502.8
155,2441.0,2441.0,17.5,2458.5
156,10315.3,10315.3,17.9,10333.2
157,1393.7,1393.7,17.6,1411.4
158,3476.1,3476.1,18.1,3494.2
159,4896.5,4896.6,17.1,4913.7
160,2048.1,2048.1,17.6,2065.7
161,1696.3,1696.3,17.1,1713.4
162,2782.9,2782.9,16.2,2799.2
163,3922.1,3922.1,16.6,3938.7
164,1415.4,1415.5,17.2,1432.7
165,2557.6,2557.6,17.1,2574.7
166,4805.0,4805.1,17.7,4822.8
167,2483.2,2483.3,20.1,2503.4
168,2935.3,2935.3,19.2,2954.6
169,2208.3,2208.4,17.0,2225.3
170,1530.7,1530.8,17.1,1547.8
171,1536.8,1536.9,17.7,1554.6
172,995.2,995.2,17.1,1012.3
173,7498.0,7498.1,16.5,7514.6
174,1187.5,1187.6,17.1,1204.7
175,4770.5,4770.5,18.3,4788.8
176,2189.4,2189.5,16.9,2206.4
177,2125.1,2125.1,16.3,2141.4
178,1490.6,1490.7,17.0,1507.7
179,1737.5,1737.5,16.8,1754.3
180,4161.8,4161.9,17.8,4179.7
181,2560.5,2560.5,16.9,2577.4
182,1889.4,1889.4,18.4,1907.8
183,1422.5,1422.5,16.7,1439.2
184,7639.0,7639.1,16.5,7655.6
185,1963.6,1963.7,19.0,1982.7
186,1781.3,1781.3,17.7,1799.1
187,3108.9,3108.9,17.1,3126.0
188,11007.4,11007.5,18.1,11025.6
189,1229.8,1229.8,18.3,1248.1
190,1536.7,1536.7,16.8,1553.5
191,1938.2,1938.2,17.8,1956.0
192,2053.3,2053.3,16.9,2070.2
193,1772.1,1772.1,16.8,1788.9
194,3514.5,3514.6,16.3,3530.9
195,2142.9,2143.0,16.9,2159.9
196,855.9,856.0,16.8,872.7
197,1764.5,1764.5,16.6,1781.1
198,1798.1,1798.1,16.8,1814.9
199,4044.3,4044.3,18.0,4062.3
200,2013.5,2013.6,17.0,2030.6
